name,pct_change,total_mv,up_num,down_num
PVDF概念,0.96,26524708.2,9.0,6.0
环氧丙烷,1.34,31234803.2,12.0,2.0
磷化工,1.06,70106830.4,35.0,8.0
元宇宙概念,2.02,452506777.6,108.0,32.0
国资云概念,3.94,36278630.4,16.0,3.0
植物照明,0.32,15944767.2,11.0,6.0
碳基材料,1.69,17663009.2,15.0,4.0
专精特新,1.35,473517619.2,531.0,227.0
工业母机,0.62,124486454.4,45.0,34.0
抽水蓄能,1.52,87624595.2,31.0,1.0
激光雷达,2.48,45874395.2,28.0,6.0
内贸流通,1.32,141364446.4,146.0,18.0
宁组合,2.19,413985107.2,21.0,3.0
茅指数,1.77,1276637952.0,34.0,7.0
机器视觉,1.38,52898472.0,46.0,23.0
NFT概念,1.59,51075516.8,49.0,7.0
毛发医疗,1.42,8652044.4,14.0,1.0
华为昇腾,2.67,45221964.8,23.0,5.0
空间站概念,1.13,19155295.0,15.0,4.0
宠物经济,0.78,24903508.4,27.0,11.0
REITs概念,1.94,83854835.2,24.0,1.0
工程机械概念,1.76,94373707.2,45.0,5.0
快递概念,1.37,57869416.0,36.0,4.0
储能,1.57,778120166.4,264.0,59.0
钠离子电池,1.37,190946921.6,39.0,11.0
CAR-T细胞疗法,3.18,41765830.4,21.0,2.0
换电概念,1.89,83938572.8,36.0,12.0
华为汽车,1.73,169840588.8,72.0,26.0
核污染防治,1.19,37508683.2,23.0,8.0
电子车牌,1.74,16075721.5,15.0,2.0
工业气体,1.13,37925454.4,21.0,5.0
化债(AMC)概念,2.03,101223556.8,56.0,5.0
低碳冶金,1.81,30330198.4,8.0,0.0
光伏建筑一体化,1.78,106434368.0,75.0,8.0
碳化硅,1.46,55666776.0,29.0,5.0
被动元件,1.17,39027518.4,19.0,6.0
磁悬浮概念,1.11,72495046.4,26.0,3.0
化妆品概念,1.48,65224734.4,46.0,9.0
注射器概念,1.26,7276821.8,13.0,0.0
快手概念,1.43,28755558.4,20.0,10.0
注册制次新股,1.13,80969587.2,49.0,27.0
生物识别,1.34,109468801.6,35.0,15.0
汽车芯片,0.78,122378006.4,41.0,15.0
固态电池,1.67,476773836.8,141.0,22.0
水产养殖,1.12,25101457.6,14.0,3.0
碳交易,1.26,250571228.8,108.0,23.0
社区团购,1.11,57014516.8,31.0,7.0
6G概念,1.61,52713633.6,21.0,6.0
商业航天,1.24,154784494.4,115.0,35.0
RCEP概念,1.95,21130691.5,20.0,3.0
有机硅,0.96,28505684.8,25.0,6.0
无线充电,1.46,210740011.2,28.0,12.0
数字阅读,1.07,20039141.6,12.0,7.0
虚拟电厂,1.94,60075889.6,46.0,5.0
拼多多概念,0.87,14166523.7,15.0,9.0
eSIM,3.01,31231011.2,10.0,0.0
C2M概念,1.53,29913905.6,30.0,8.0
盲盒经济,1.25,11843354.2,8.0,3.0
鸿蒙概念,2.66,217299507.2,88.0,20.0
第三代半导体,1.34,170037572.8,83.0,25.0
刀片电池,2.66,107365894.4,11.0,1.0
草甘膦,1.16,15340917.6,11.0,3.0
氦气概念,0.49,9042662.5,6.0,4.0
MicroLED,1.1,47709204.8,17.0,2.0
屏下摄像,1.76,59067632.0,6.0,2.0
EDA概念,0.89,22926711.5,11.0,3.0
装配建筑,1.84,140961932.8,80.0,9.0
肝素概念,1.09,20028773.6,11.0,2.0
汽车拆解,1.48,26192731.1,14.0,4.0
商汤概念,0.96,52063817.6,10.0,4.0
疫苗冷链,0.92,46703816.0,24.0,5.0
网红直播,1.28,165068400.0,94.0,29.0
辅助生殖,2.01,50381633.6,50.0,2.0
代糖概念,1.25,13101962.7,14.0,1.0
蚂蚁概念,2.2,497024640.0,46.0,11.0
长寿药,3.39,12197087.4,14.0,1.0
中芯概念,0.69,241195408.0,40.0,22.0
退税商店,1.34,14306692.3,9.0,1.0
尾气治理,1.42,22728341.7,23.0,10.0
地塞米松,1.47,7714536.8,8.0,1.0
抖音小店,1.61,24045743.8,21.0,5.0
免税概念,1.22,92666638.4,25.0,6.0
湖北自贸,1.62,33893297.6,25.0,3.0
北交所概念,1.38,35135268.8,23.0,4.0
地摊经济,1.56,63212827.2,31.0,4.0
抖音概念(字节概念),1.02,82881112.0,54.0,24.0
数据中心,2.49,611867187.2,166.0,33.0
天基互联,1.23,50570195.2,32.0,8.0
车联网(车路云),2.12,564043340.8,168.0,48.0
RCS概念,2.22,21051048.5,19.0,4.0
特高压,1.49,108647902.4,73.0,11.0
半导体概念,0.95,775288806.4,231.0,103.0
氮化镓,0.88,94435697.6,36.0,12.0
WiFi,1.99,54018232.0,23.0,4.0
医废处理,1.14,19962734.0,25.0,6.0
消毒剂,1.1,53815606.4,47.0,12.0
远程办公,1.81,79966265.6,30.0,8.0
口罩,1.09,287458700.8,117.0,39.0
降解塑料,0.97,66320849.6,52.0,9.0
HIT电池,3.15,64243321.6,36.0,3.0
转基因,1.41,12067809.0,13.0,3.0
流感,1.39,128989097.6,104.0,8.0
传感器,1.59,146339960.0,70.0,26.0
广电,1.48,24684214.6,22.0,3.0
云游戏,2.32,32178635.2,19.0,4.0
MiniLED,0.95,93177907.2,46.0,12.0
3D摄像头,2.73,61263112.0,10.0,0.0
新能源车,1.38,1161570841.6,433.0,163.0
CRO,2.69,49931088.0,36.0,2.0
胎压监测,1.76,31285940.8,19.0,8.0
IPv6,2.12,60918302.4,10.0,2.0
白酒,1.3,340698958.4,48.0,1.0
维生素,1.36,41172875.2,25.0,5.0
阿兹海默,2.16,13765134.1,13.0,1.0
无线耳机,1.23,238533115.2,54.0,29.0
乳业,1.35,43088161.6,28.0,0.0
国产芯片,1.35,994053913.6,258.0,100.0
MLCC,0.51,17772032.0,10.0,3.0
医疗美容,1.68,94571787.2,62.0,3.0
农业种植,1.56,71353492.8,76.0,9.0
鸡肉概念,0.75,35061443.2,18.0,2.0
智慧政务,2.64,63639025.6,64.0,15.0
VPN,3.48,32730076.8,17.0,2.0
光刻机(胶),0.93,79738700.8,61.0,17.0
数字货币,2.0,83301060.8,65.0,10.0
猪肉概念,0.84,82626296.0,31.0,5.0
3D玻璃,3.09,31094246.4,14.0,3.0
UWB概念,1.68,40417974.4,15.0,4.0
标准普尔,1.47,5616883993.6,878.0,155.0
PCB,0.96,106424574.4,66.0,21.0
ETC,1.65,37429883.2,35.0,7.0
垃圾分类,1.24,77076731.2,84.0,14.0
青蒿素,0.54,27270856.0,9.0,2.0
单抗概念,0.85,137602216.0,39.0,9.0
GDR,0.93,146329816.0,8.0,2.0
富时罗素,1.56,6151082393.6,1066.0,200.0
人造肉,1.6,17307716.0,16.0,2.0
电子烟,1.75,97419576.0,41.0,10.0
氢能源,1.42,455379865.6,201.0,37.0
超级真菌,2.4,47380387.2,18.0,2.0
数字孪生,1.49,97012820.8,57.0,20.0
边缘计算,2.4,285097963.2,96.0,26.0
超清视频,1.93,248878232.0,81.0,15.0
工业大麻,2.0,41056332.8,37.0,6.0
纳米银,2.91,10564403.9,8.0,1.0
华为概念,2.1,1334595430.4,570.0,138.0
电子竞技,1.72,301154484.8,25.0,10.0
冷链物流,1.29,154219171.2,95.0,17.0
纾困概念,1.58,41660920.0,42.0,8.0
进口博览,0.8,23731906.0,14.0,2.0
京东金融,1.22,23197282.0,7.0,4.0
影视概念,1.09,57692340.8,39.0,20.0
百度概念,2.2,267000520.0,112.0,33.0
天然气,1.1,483813555.2,104.0,18.0
富士康,1.2,44879448.0,21.0,10.0
体外诊断,2.15,93416188.8,59.0,7.0
OLED,1.73,208661500.8,99.0,25.0
知识产权,1.03,37909243.2,27.0,13.0
东北振兴,1.28,61959398.4,51.0,8.0
互联医疗,2.89,491774028.8,86.0,14.0
独角兽,1.46,512534374.4,97.0,26.0
乡村振兴,1.35,133184894.4,103.0,30.0
小米概念,1.14,311658644.8,143.0,58.0
工业互联,1.79,436102400.0,136.0,51.0
万达概念,1.82,57683371.2,15.0,0.0
区块链,2.42,822149248.0,200.0,32.0
新零售,1.23,247993561.6,121.0,16.0
养老金,1.01,295403800.0,130.0,45.0
租售同权,2.24,41634609.6,18.0,0.0
MSCI中国,1.38,6464836940.8,450.0,109.0
壳资源,1.9,25186881.5,66.0,10.0
可燃冰,0.31,30922364.8,8.0,6.0
昨日触板,1.41,74744830.4,17.0,14.0
昨日连板,7.06,17203244.7,13.0,2.0
昨日涨停,4.29,201723753.6,70.0,20.0
大飞机,1.43,170542337.6,82.0,16.0
雄安新区,1.8,259784308.8,142.0,19.0
贬值受益,1.09,210987065.6,113.0,44.0
超级品牌,1.25,850290585.6,29.0,3.0
工业4.0,1.25,272325000.0,86.0,43.0
AI智能体,1.34,43354860.8,22.0,8.0
军民融合,1.49,296885435.2,149.0,29.0
共享经济,1.66,23224684.9,15.0,3.0
精准医疗,2.54,57719268.8,41.0,4.0
钛白粉,1.08,13698388.1,9.0,2.0
深股通,1.59,2961315763.2,1101.0,250.0
股权转让,1.14,18307559.5,29.0,9.0
无人驾驶,2.09,577100160.0,186.0,54.0
增强现实,1.79,63021720.0,36.0,10.0
人工智能,1.99,960898176.0,437.0,138.0
深证100R,1.57,1292419584.0,82.0,16.0
创业板综,1.34,1307806668.8,1005.0,329.0
海绵城市,1.54,28803273.6,33.0,3.0
高送转,1.12,345094963.2,154.0,56.0
虚拟现实,1.94,349977787.2,178.0,40.0
PPP模式,1.31,224349414.4,123.0,21.0
健康中国,2.25,145616929.6,92.0,8.0
证金持股,1.39,3644271744.0,191.0,36.0
航母概念,0.76,115137110.4,22.0,12.0
5G概念,1.66,809226368.0,251.0,65.0
2025规划,1.84,395670108.8,59.0,21.0
一带一路,1.41,1346371968.0,376.0,64.0
券商概念,2.38,400954931.2,55.0,0.0
量子通信,1.81,133903452.8,39.0,12.0
赛马概念,3.57,1857803.0,3.0,0.0
体育产业,1.59,81440500.8,54.0,16.0
沪股通,1.3,5969838003.2,1020.0,255.0
人脑工程,1.34,35150315.2,13.0,7.0
上证380,1.36,783226880.0,310.0,64.0
无人机,1.44,262868867.2,121.0,42.0
超级电容,1.31,61033345.6,30.0,4.0
中证500,1.42,1338167193.6,405.0,90.0
充电桩,1.65,407288075.2,187.0,36.0
全息技术,2.34,14200994.1,10.0,0.0
免疫治疗,1.54,44397254.4,36.0,7.0
IPO受益,1.27,213621518.4,44.0,11.0
